Metabolite,baseMean,FC,log2FC,Test,Stat,pvalue,adj_pvalue,Significant,Direction,abs_log2FC,neg_log10_adj_pval,Colour
NEG.533.2962@6.1339474,246267.17525773196,4.043065127601397,2.015449443409456,Mann-Whitney U,2255.0,2.427850926080862e-05,0.00018431434947163879,True,Up,2.015449443409456,3.7344408522266237,red
NEG.Glycochenodeoxycholic acid_FE 6.486721,316239.404040404,3.8283482958245445,1.9367220894374682,Mann-Whitney U,2252.0,2.6258177517869465e-05,0.00019810517365448515,True,Up,1.9367220894374682,3.7031041824106987,red
NEG.507.2723@6.4060726,40594.06796116505,3.157604702198215,1.6588305727579544,Mann-Whitney U,2249.0,2.8390756641421445e-05,0.00021113452490069336,True,Up,1.6588305727579544,3.675440744674917,red
POS.Glycocholic acid_FE,245790.76,3.906147934119856,1.965746588185185,Mann-Whitney U,2248.0,2.913749249826714e-05,0.00021580695663350706,True,Up,1.965746588185185,3.6659345597511206,red
POS.438.2744@7.3870053,41013.154639175256,0.13774555107372466,-2.859922371717249,Mann-Whitney U,835.0,3.315975920223573e-05,0.00023975032248600594,True,Down,2.859922371717249,3.620240799991298,blue
NEG.220.0347@3.97991,82489.42528735632,5.434611921164443,2.4421770178834583,Mann-Whitney U,2241.0,3.491193163945943e-05,0.00025043125766572867,True,Up,2.4421770178834583,3.6013114654595246,red
NEG.583.2788@6.066284,182433.38043478262,2.959141129600564,1.5651785042775221,Mann-Whitney U,2237.0,3.8683479849077284e-05,0.00027212857252903016,True,Up,1.5651785042775221,3.5652258564553603,red
POS.192.1468@0.6740016,65731.7027027027,2.174001928595024,1.1203532202057203,Mann-Whitney U,2237.0,3.8683479849077284e-05,0.00027212857252903016,True,Up,1.1203532202057203,3.5652258564553603,red
NEG.506.2512@6.4050593,30198.93137254902,3.266421990522594,1.7077111853597264,Mann-Whitney U,2236.0,3.968353830295598e-05,0.00027862584504040767,True,Up,1.7077111853597264,3.554978601344081,red
NEG.517.3009@6.406337,342760.37272727274,3.316547378474769,1.7296821356151915,Mann-Whitney U,2233.0,4.283967018751096e-05,0.0002984851972529444,True,Up,1.7296821356151915,3.525077201924129,red
NEG.Glycochenodeoxycholic acid_FE,1272452.6576576577,3.7740495038058377,1.916113346739839,Mann-Whitney U,2226.0,5.1150680048415865e-05,0.0003458127608468041,True,Up,1.916113346739839,3.4611589848530215,red
POS.243.1904@3.1619952,70582.51086956522,65.95052994353281,6.0433123471440915,Mann-Whitney U,2223.0,5.516165281511669e-05,0.00036882396854731234,True,Up,6.0433123471440915,3.4331808634600716,red
POS.326.2457@7.8480124,902803.5700934579,0.0407983664706072,-4.615344800615533,Mann-Whitney U,856.0,5.656360055808991e-05,0.00037750505573934,True,Down,4.615344800615533,3.423077227703682,blue
